㓦划	㓦劃
面如桃花	面如桃花
面如槁木	面如槁木
面如死灰	面如死灰
面如灰土	面如灰土
面如美玉	面如美玉
面如铁色	面如鐵色
面子上	面子上
面子情儿	面子情兒
面带愁容	面帶愁容
面向连接	面向連接
面壁功深	面壁功深
面壁坐禅	面壁坐禪
面善心恶	面善心惡
面善心狠	面善心狠
面目一新	面目一新
面目清秀	面目清秀
面目狰狞	面目猙獰
面目黄瘦	面目黃瘦
面皮焦黄	面皮焦黃
面皮薄	面皮薄
面皮铁青	面皮鐵青
面红面赤	面紅面赤
面生不熟	面生不熟
面有菜色	面有菜色
面有难色	面有難色
面条儿	麪條兒
面条目	麪條目
面板厂	面板廠
面板股	面板股
面杖吹火	麪杖吹火
面无人色	面無人色
面色发白	面色發白
面试会	面試會
面面厮觑	面面廝覷
面面观	面面觀
面黄肌瘦	面黃肌瘦
面黄肌闳	面黃肌閎
面上无光	面上無光
面不改容	面不改容
面不改色	面不改色
面人儿	麪人兒
非同步	非同步
非当不可	非當不可
非洲出血热	非洲出血熱
非洲团结组织	非洲團結組織
非洲大裂谷	非洲大裂谷
非洲开发银行	非洲開發銀行
青年党	青年黨
青年团	青年團
革命党	革命黨
革命发展	革命發展
革命干劲	革命幹勁
革命意志	革命意志
革命斗志	革命鬥志
革命积极性	革命積極性
静脉曲张	靜脈曲張
适应力	適應力
适度微调	適度微調
适中下怀	適中下懷
适用者	適用者
适用范围	適用範圍
通同一气	通同一氣
通志馆	通志館
选手表决	選手表決
选手表明	選手表明
选手表达	選手表達
选拔出	選拔出
选拔干部	選拔幹部
选举制	選舉制
选举人团	選舉人團
选修科目	選修科目
逆向思考	逆向思考
逆向拥塞通知	逆向擁塞通知
逆向整合	逆向整合
逃不出手掌心	逃不出手掌心
阿布扎比	阿布扎比
阿布杜拉	阿布杜拉
阿布达	阿布達
阿布加	阿布加
阿布叔醇	阿布叔醇
阿布哈兹	阿布哈茲
阿布尔	阿布爾
阿布瑞尤	阿布瑞尤
阿克伦	阿克倫
阿克陶	阿克陶
阿克拉	阿克拉
阿兹海默症	阿茲海默症
阿兹海默氏症	阿茲海默氏症
阿尔梅里亚	阿爾梅里亞
阿尔汉格尔斯克州	阿爾漢格爾斯克州
阿尔茨海默氏症	阿爾茨海默氏症
阿尔茨海默症	阿爾茨海默症
阿拉伯共同市场	阿拉伯共同市場
阿拉克	阿拉克
阿拉干山脉	阿拉乾山脈
阿扎伦卡	阿紮倫卡
阿扎尼亚	阿扎尼亞
阿里巴巴与四十大盗	阿里巴巴與四十大盜
阿里斯托芬	阿里斯托芬
阿里斯托芳	阿里斯託芳
阿修罗道	阿修羅道
防御性	防禦性
防御战	防禦戰
防御术	防禦術
防御率	防禦率
防御网	防禦網
防御力	防禦力
防御工事	防禦工事
防水布	防水布
防水表	防水錶
防范意识	防範意識
防范未然	防範未然
阴沈沈	陰沈沈
阴阳历	陰陽曆
阴阳合历	陰陽合曆
阴阴暗暗	陰陰暗暗
阴阴沈沈	陰陰沈沈
阳极板	陽極板
阳极泥	陽極泥
钟山区	鐘山區
钟山县	鐘山縣
钟祥县	鍾祥縣
钟祥市	鍾祥市
钟鼎山林	鐘鼎山林
钟鼎高门	鐘鼎高門
钟鼓齐鸣	鐘鼓齊鳴
钟楼区	鐘樓區
钟楼怪人	鐘樓怪人
钟不空则哑	鐘不空則啞
钟乳洞	鐘乳洞
钟乳石	鐘乳石
钟表停	鐘錶停
钟表盘	鐘表盤
针线包	針線包
针线娘	針線娘
针线活计	針線活計
针线盒	針線盒
针线箔篱	針線箔籬
针织厂	針織廠
针织品	針織品
针灸铜人	鍼灸銅人
针灸麻醉	鍼灸麻醉
针孔照像	針孔照像
针孔现象	針孔現象
针锋相对	針鋒相對
针锋相投	針鋒相投
针鼻儿	針鼻兒
雕刻出	雕刻出
雕刻刀	雕刻刀
雕刻匠	雕刻匠
雕刻品	雕刻品
雕刻家	雕刻家
雕刻师	雕刻師
雕塑品	雕塑品
雕塑家	雕塑家
雕虫小技	雕蟲小技
雕虫小艺	雕蟲小藝
雕虫篆刻	雕蟲篆刻
雕肝琢肾	雕肝琢腎
雕肝琢膂	雕肝琢膂
雕梁画柱	雕樑畫柱
雕梁画栋	雕樑畫棟
集合到	集合到
集合号	集合號
集合名词	集合名詞
集合地点	集合地點
集合式	集合式
集合令	集合令
集合体	集合體
集合论	集合論
集合起来	集合起來
集于一身	集於一身
雷克南	雷克南
雷克坦跑道	雷克坦跑道
雷克斯暴龙	雷克斯暴龍
雷蒙德电	雷蒙德電
铁板注脚	鐵板註腳
铁板面	鐵板麪
铁面判官	鐵面判官
铁面御史	鐵面御史
铁面无情	鐵面無情
铁面无私	鐵面無私
链锁反应	鏈鎖反應
银杯羽化	銀杯羽化
银发产业	銀髮產業
银发族	銀髮族
银行借款	銀行借款
银行利害关系人	銀行利害關係人
银行团	銀行團
银行存折	銀行存摺
黄志雄	黃志雄
黄志鹏	黃志鵬
黄志龙	黃志龍
黄志中	黃志中
黄志伟	黃志偉
黄志勇	黃志勇
黄志强	黃志強
黄发儿齿	黃髮兒齒
黄发垂髫	黃髮垂髫
黄岩区	黃巖區
黄岩岛	黃巖島
黄金入柜	黃金入櫃
黄金台	黃金臺
黄金周	黃金週
黄金存折	黃金存摺
黄钟大吕	黃鐘大呂
黄钟毁弃	黃鐘譭棄
黄钟长弃	黃鐘長棄
黄曲霉毒素	黃麴黴毒素
黄曲霉菌	黃麴黴菌
黄秋庆	黃秋慶
黄秋葵	黃秋葵
黄种人	黃種人
黑暗时代	黑暗時代
黑暗期	黑暗期
黑云母	黑雲母
黑色火药	黑色火藥
黑色系	黑色系
风向器	風向器
风向标	風向標
风向球	風向球
风向袋	風向袋
风向针	風向針
风吹两面倒	風吹兩面倒
风吹砂子迷了眼	風吹砂子迷了眼
风云开阖	風雲開闔
风云人物	風雲人物
风云不测	風雲不測
风云之志	風雲之志
风云感会	風雲感會
风云月露	風雲月露
风云气候	風雲氣候
风里杨花	風裏楊花
风采堂堂	風采堂堂
风马云车	風馬雲車
风马牛不相干	風馬牛不相干
风流云散	風流雲散
风流蕴借	風流蘊藉
风流酝借	風流醞藉
飞行记录仪	飛行記錄儀
飞行记录器	飛行記錄器
飞云掣电	飛雲掣電
食品药品监督局	食品藥品監督局
食品药品监督管理局	食品藥品監督管理局
食欲不佳	食慾不佳
食欲不振	食慾不振
陈志勇	陳志勇
陈志声	陳志聲
陈志强	陳志強
陈志忠	陳志忠
陈志诚	陳志誠
陈志豪	陳志豪
陈志远	陳志遠
陈志玮	陳志瑋
陈志维	陳志維
陈幸妤	陳幸妤
陈幸嫚	陳倖嫚
陈万松	陳萬松
陈万立	陳萬立
陈胜在	陳勝在
陈胜宏	陳勝宏
降回到	降回到
降回去	降回去
限制酶	限制酶
限制选举	限制選舉
限制住居	限制住居
限制器	限制器
限制式	限制式
限制性	限制性
限制是	限制是
限制类	限制類
限制级	限制級
附膻逐腥	附膻逐腥
附膻逐臭	附膻逐臭
除恶务尽	除惡務盡
除恶务本	除惡務本
陪同到	陪同到
陪审制度	陪審制度
闲言长语	閒言長語
闲杂人员	閒雜人員
闲杂人等	閒雜人等
闲云孤鹤	閒雲孤鶴
闲云野鹤	閒雲野鶴
门里出身	門裏出身
门里安心	門裏安心
闭卷考试	閉卷考試
马克斯	馬克斯
马克思	馬克思
马克沁	馬克沁
马克数	馬克數
马克杯	馬克杯
马克吐温	馬克吐溫
马尔克奥雷利	馬爾克奧雷利
马尔扎赫	馬爾扎赫
马尔谷	馬爾谷
马戏团	馬戲團
马戏表演	馬戲表演
马扎尔	馬扎爾
马术赛	馬術賽
马里内斯科	馬里內斯科
马里布	馬里布
马面战棚	馬面戰棚
郁郁而终	鬱鬱而終
郁郁菲菲	郁郁菲菲
郁郁葱葱	鬱鬱蔥蔥
郁郁不乐	鬱鬱不樂
郁郁不平	鬱鬱不平
郁闭度	鬱閉度
郁闷不乐	鬱悶不樂
郁南县	鬱南縣
都发局	都發局
道尽涂殚	道盡塗殫
道尽途穷	道盡途窮
道德发展	道德發展
道德困境	道德困境
遗臭万代	遺臭萬代
遗臭万年	遺臭萬年
遗臭万载	遺臭萬載
须弥山	須彌山
须弥座	須彌座
颁发奖牌	頒發獎牌
颁发奖状	頒發獎狀
高台县	高臺縣
高层云	高層雲
高层建筑	高層建築
高梁川	高梁川
高梁市	高梁市
高才生	高才生
高血压症	高血壓症
高血压药	高血壓藥
高纤维	高纖維
酒后吐真言	酒後吐真言
酒后驾车	酒後駕車
酒后驾驶	酒後駕駛
配合着	配合着
配合禁忌	配合禁忌
难于上天	難於上天
难于接近	難於接近
难于登天	難於登天
难舍难分	難捨難分
难舍难离	難捨難離
长发屯	長發屯
长发镇	長發鎮
长出来	長出來
长吁短叹	長吁短嘆
麦克斯	麥克斯
麦克林	麥克林
麦克拉伦	麥克拉倫
麦克格雷格	麥克格雷格
麦克白	麥克白
麦克米兰	麥克米蘭
麦克维	麥克維
麦克罗尼西亚人	麥克羅尼西亞人
麦克雷兰	麥克雷蘭
麦克道格拉斯	麥克道格拉斯
麦克阿瑟	麥克阿瑟
麦克风	麥克風
麦克贝	麥克貝
麦克连	麥克連
麦当劳	麥當勞
麦当娜	麥當娜
麻醉药品	麻醉藥品
那几个	那幾個
那几天	那幾天
那几次	那幾次
那出电影	那齣電影
那曲县	那曲縣
那曲地区	那曲地區
那曲市	那曲市
邮政储金转存制度	郵政儲金轉存制度
邮政划拨	郵政劃撥
饥饿三十	飢餓三十
饥饿感	飢餓感
饥馑之岁	饑饉之歲
饥馑荐臻	饑饉薦臻
饥寒交切	飢寒交切
饥寒交迫	飢寒交迫
饥渴交攻	飢渴交攻
饥渴交迫	飢渴交迫
饭后服用	飯後服用
饭后漱口	飯後漱口
饭店回葱	飯店回蔥
饭店里买葱	飯店裏買蔥
露出原形	露出原形
露出去	露出去
骨质疏松	骨質疏鬆
骨质石化症	骨質石化症
香榭丽舍大街	香榭麗舍大街
香烟后代	香煙後代
香烟头	香菸頭
首都师范大学	首都師範大學
首都杯	首都盃
龙须茶	龍鬚茶
龙须草	龍鬚草
龙须菜	龍鬚菜
龙虎并伏	龍虎並伏
龙虎斗	龍虎鬥
鉴定为	鑑定爲
鉴定书	鑑定書
鉴定人	鑑定人
韩干画马	韓幹畫馬
齐心合力	齊心合力
齐心同力	齊心同力
魔术数字	魔術數字
魔术方块	魔術方塊
魔术棒	魔術棒
魔术家	魔術家
魔术师	魔術師
魔术蛇	魔術蛇
魔术贴	魔術貼
鄂温克族自治旗	鄂溫克族自治旗
发展出	發展出
发展到	發展到
发展区	發展區
发展史	發展史
发展局	發展局
发展心理	發展心理
发展中	發展中
发展下去	發展下去
发展不平均	發展不平均
发展为	發展爲
发展性	發展性
发展成	發展成
发展核武器	發展核武器
发展潜力	發展潛力
发展生产	發展生產
发展的国家	發展的國家
发展研究中心	發展研究中心
发展观	發展觀
发展起来	發展起來
发展趋势	發展趨勢
发展速度	發展速度
发展部	發展部
发射机	發射機
发射控制	發射控制
发射极	發射極
发射台	發射臺
发射器	發射器
发射场	發射場
发射点	發射點
发射站	發射站
发光可鉴	髮光可鑑
发光器	發光器
发光屏	發光屏
发光度	發光度
发光强度	發光強度
发光体	發光體
发出指示	發出指示
发出来	發出來
发号出令	發號出令
发号布令	發號佈令
发动期	發動期
发动机	發動機
发行量	發行量
发行额	發行額
发行首日	發行首日
发行商	發行商
发行备忘录	發行備忘錄
发行日	發行日
发行权	發行權
发表意见	發表意見
发表欲	發表慾
发表演讲	發表演講
发表出来	發表出來
发表声明	發表聲明
发育成	發育成
发育期	發育期
发育条件	發育條件
发达国	發達國
发达到	發達到
发达地区	發達地區
发觉出	發覺出
发觉到	發覺到
发电机	發電機
发电所	發電所
发电板	發電板
发电厂	發電廠
发电场	發電場
发生学	發生學
发生关系	發生關係
发生器	發生器
发生地	發生地
发烧友	發燒友
发烧客	發燒客
发烧度	發燒度
发挥出	發揮出
发挥到	發揮到
发挥不了	發揮不了
发挥作用	發揮作用
发挥性	發揮性
发挥所长	發揮所長
发明奖	發明獎
发明家	發明家
发明展	發明展
发愤努力	發憤努力
发愤向上	發憤向上
发愤图强	發憤圖強
发愤忘食	發憤忘食
发报员	發報員
发报器	發報器
发掘出	發掘出
发掘到	發掘到
发酵乳酸	發酵乳酸
发音器官	發音器官
发上冲冠	髮上衝冠
发上去	發上去
发上指冠	髮上指冠
发上来	發上來
发不出	發不出
发不到	發不到
只占到	只佔到
只占卜	只占卜
只占吉	只占吉
只占神问卜	只占神問卜
只占算	只占算
只字片纸	隻字片紙
只回到	只回到
只回去	只回去
只写出	只寫出
只写到	只寫到
只写在	只寫在
只好去	只好去
只好在	只好在
只记到	只記到
只记在	只記在
只记得	只記得
只让出	只讓出
只让到	只讓到
只讲出	只講出
只讲到	只講到
只设到	只設到
只设在	只設在
只赶出	只趕出
只赶到	只趕到
只赶去	只趕去
只赶回	只趕回
只身上已	只身上已
只身上的	只身上的
只追到	只追到
只追回	只追回
只跟到	只跟到
只跟去	只跟去
只跟在	只跟在
只说出	只說出
只说到	只說到
只找出	只找出
只找到	只找到
只漏出	只漏出
只漏到	只漏到
只看出	只看出
只看到	只看到
只租不买	只租不買
只租不卖	只租不賣
只采到	只採到
只采声	只採聲
只量出	只量出
只量到	只量到
只限到	只限到
只限在	只限在
只闯出	只闖出
只闯到	只闖到
只露出	只露出
只露到	只露到
只顾到	只顧到
只顾在	只顧在
只亮出	只亮出
只亮到	只亮到
只会到	只會到
只会在	只會在
台子女	臺子女
台子孙	臺子孫
参考书目	參考書目
参考价值	參考價值
参观团	參觀團
参观券	參觀券
参观参观	參觀參觀
参观完	參觀完
参谋总部	參謀總部
参谋总长	參謀總長
参加国	參加國
参加奖	參加獎
参加完	參加完
参加为	參加爲
参加人	參加人
参与制	參與制
参与度	參與度
参与感	參與感
参与权	參與權
反复性	反覆性
反复不定	反覆不定
反复不常	反覆不常
反导向飞弹	反導向飛彈
反面教员	反面教員
反面教材	反面教材
同心圆	同心圓
同心僇力	同心僇力
同心协力	同心協力
同心县	同心縣
同心并力	同心並力
同心戮力	同心戮力
同志合道	同志合道
同志天地	同志天地
同安区	同安區
同安县	同安縣
同学们	同學們
同学会	同學會
同学家	同學家
同学录	同學錄
同分异构体	同分異構體
同分异构物	同分異構物
同工同酬	同工同酬
同卵双生	同卵雙生
同卵双胞胎	同卵雙胞胎
同德县	同德縣
同德同心	同德同心
同步进行	同步進行
同步加速器	同步加速器
同步卫星	同步衛星
同步录音	同步錄音
同日而言	同日而言
同日而语	同日而語
同性恋恐惧症	同性戀恐懼症
同性恋者	同性戀者
同性恋酒吧	同性戀酒吧
同性爱	同性愛
同性相斥	同性相斥
同意权	同意權
同意案	同意案
同文韵统	同文韻統
同文馆	同文館
同样在	同樣在
同样地	同樣地
同恶相救	同惡相救
同恶相求	同惡相求
同恶相济	同惡相濟
同济医科大学	同濟醫科大學
同济大学	同濟大學
同温同压	同溫同壓
同温层	同溫層
同类相吸	同類相吸
同类相呼	同類相呼
同类相残	同類相殘
同类相求	同類相求
同盟党	同盟黨
同盟军	同盟軍
同盟国	同盟國
同盟会宣言	同盟會宣言
同甘共苦	同甘共苦
同甘同苦	同甘同苦
同级评审	同級評審
同级车	同級車
同一场	同一場
同一型	同一型
同一处	同一處
同一家	同一家
同一年	同一年
同一座	同一座
同一个	同一個
同一人	同一人
同一片	同一片
同一班	同一班
同一组	同一組
同一性	同一性
同一所	同一所
同位素分离	同位素分離
同位素扫描	同位素掃描
同位角	同位角
同位语	同位語
同义反复	同義反復
同义字	同義字
同义词	同義詞
同义语	同義語
同乡亲故	同鄉親故
同乡会	同鄉會
同人女	同人女
同人志	同人誌
同仁县	同仁縣
同仁堂	同仁堂
同轴圆弧	同軸圓弧
同胞共乳	同胞共乳
同进同出	同進同出
同进士出身	同進士出身
后半叶	後半葉
后半场	後半場
后半季	後半季
后半晌	後半晌
后半期	後半期
后半段	後半段
后备军人	後備軍人
后天免疫缺乏症候群	後天免疫缺乏症候羣
后悔何及	後悔何及
后悔药儿	後悔藥兒
后悔莫及	後悔莫及
后果堪忧	後果堪憂
后果堪虞	後果堪虞
后车之戒	後車之戒
后车之鉴	後車之鑑
后生动物	後生動物
后生可畏	後生可畏
后继有人	後繼有人
后继乏人	後繼乏人
后继乏力	後繼乏力
后顾之忧	後顧之憂
后顾之患	後顧之患
后会无期	後會無期
后会有期	後會有期
合同文字	合同文字
合同法	合同法
合口元音	合口元音
合家大小	合家大小
合家子	閤家子
合成洗涤	合成洗滌
合成数	合成數
合成染料	合成染料
合成树脂	合成樹脂
合成橡胶	合成橡膠
合成氨	合成氨
合成法	合成法
合成清洁剂	合成清潔劑
合成代谢	合成代謝
合成物	合成物
合成皮	合成皮
合成石油	合成石油
合成类固醇	合成類固醇
合成纤维	合成纖維
合成色素	合成色素
合格者	合格者
合格证	合格證
合格赛	合格賽
合法性	合法性
合法斗争	合法鬥爭
合理化	合理化
合理合情	合理合情
合理密植	合理密植
合理布局	合理佈局
合理性	合理性
合理标	合理標
合约书	合約書
合约人	合約人
合约价	合約價
合作农场	合作農場
合作化	合作化
合作协议	合作協議
合作商店	合作商店
合作学	合作學
合作市	合作市
合作所	合作所
合作案	合作案
合作主义	合作主義
合作伙伴	合作伙伴
合作社	合作社
合作署	合作署
合作者	合作者
合作节	合作節
合众国际社	合衆國際社
合不拢嘴	合不攏嘴
合不来	合不來
合肥县	合肥縣
合肥工业大学	合肥工業大學
合肥市	合肥市
吊死鬼搽粉	吊死鬼搽粉
吊死鬼的裹脚布	吊死鬼的裹腳布
吊死问孤	弔死問孤
吊死问疾	弔死問疾
向后转走	向後轉走
向左看齐	向左看齊
向左转走	向左轉走
向前看齐	向前看齊
向量分析	向量分析
向量图形	向量圖形
吃不出来	吃不出來
吉卜赛人	吉卜賽人
吉布地共和国	吉布地共和國
吸烟客	吸菸客
吸烟室	吸菸室
启发性程式	啓發性程式
君子于役	君子于役
君子交绝不出恶声	君子交絕不出惡聲
千古恨	千古恨
千古未闻	千古未聞
千古流传	千古流傳
千古独步	千古獨步
千古绝唱	千古絕唱
千古罪人	千古罪人
千古事	千古事
千古传诵	千古傳誦
千岛湖事件	千島湖事件
千岩万壑	千巖萬壑
千岩万谷	千巖萬谷
千山万壑	千山萬壑
千山万水	千山萬水
千山区	千山區
千山山脉	千山山脈
千里送鹅毛	千里送鵝毛
千里镜	千里鏡
千里馈粮	千里饋糧
千里鹅毛	千里鵝毛
千里一曲	千里一曲
千里命驾	千里命駕
千里寄鹅毛	千里寄鵝毛
千里犹面	千里猶面
千里目	千里目
千里眼	千里眼
千里移檄	千里移檄
千里足	千里足
千里达	千里達
千金裘	千金裘
千金要方	千金要方
千金记	千金記
千金躯	千金軀
千金小姐	千金小姐
千金市骨	千金市骨
千金敝帚	千金敝帚
千金方	千金方
千万分之一	千萬分之一
千万千万	千萬千萬
千万富翁	千萬富翁
千万年	千萬年
千佛塔	千佛塔
千佛山	千佛山
千斤重担	千斤重擔
千斤顶	千斤頂
千载一逢	千載一逢
千载一遇	千載一遇
升降机	升降機
升降梯	升降梯
升降舵	升降舵
升降记号	升降記號
十几元	十幾元
十几分	十幾分
十几号	十幾號
十几块	十幾塊
十几天	十幾天
十几岁	十幾歲
十几年	十幾年
十六万	十六萬
十六个	十六個
十八万	十八萬
十八个	十八個
十公克	十公克
十公升	十公升
十多万	十多萬
十多个	十多個
十二万	十二萬
十二个	十二個
十二指肠虫	十二指腸蟲
十二木表法	十二木表法
十五个吊桶打水	十五個吊桶打水
南极光	南極光
南极呈祥	南極呈祥
南极大陆	南極大陸
南极座	南極座
南极洲	南極洲
南极老人星	南極老人星
南极腾辉	南極騰輝
南山有台	南山有臺
南山杯	南山盃
南面称伯	南面稱伯
南面称孤	南面稱孤
南面称王	南面稱王
单位切向量	單位切向量
单位制	單位制
卡布其诺	卡布其諾
卡布列拉	卡布列拉
卡布奇诺	卡布奇諾
卡布瑞拉	卡布瑞拉
印制电路板	印製電路板
协同作战	協同作戰
协同作用	協同作用
复合性	複合性
复合技	複合技
复合摄影	複合攝影
复合机	複合機
复合架	複合架
复合样式	複合樣式
复合概念	複合概念
复合模	複合模
复合母音	複合母音
复合民族国家	複合民族國家
复合包装	複合包裝
复合句	複合句
复合命题	複合命題
复合国	複合國
复合型	複合型
复合增长	複合增長
复合字	複合字
复合年	複合年
复合式	複合式
复合词	複合詞
复合肥料	複合肥料
复合膜	複合膜
复合药	複合藥
复合蛋白质	複合蛋白質
复合装甲	複合裝甲
复合体	複合體
复合韵母	複合韻母
复合物	複合物
复合管	複合管
复兴广播	復興廣播
复兴党	復興黨
复兴南路	復興南路
复兴号	復興號
复兴基地	復興基地
复兴工商	復興工商
复兴门	復興門
复兴馆	復興館
复兴高中	復興高中
复兴中学	復興中學
复兴乡	復興鄉
复分数	複分數
复分析	複分析
复分解反应	複分解反應
复制出	複製出
复制品	複製品
复杂度	複雜度
复杂劳动	複雜勞動
复杂化	複雜化
复杂生产	複雜生產
复杂系统	複雜系統
复活节岛	復活節島
复数形式	複數形式
复车之戒	覆車之戒
复车之鉴	覆車之鑑
复盂之固	覆盂之固
复盂之安	覆盂之安
复仇者	復仇者
复仇记	復仇記
大同区	大同區
大同县	大同縣
大同商专	大同商專
大同国中	大同國中
大同大学	大同大學
大同小异	大同小異
大同市	大同市
大同煤矿	大同煤礦
大同社会	大同社會
大后天	大後天
大后年	大後年
大发牢骚	大發牢騷
大发神威	大發神威
大叶合欢	大葉合歡
大叶大学	大葉大學
大叶性肺炎	大葉性肺炎
大叶桉	大葉桉
大台北区	大臺北區
大出意料之外	大出意料之外
大出手	大出手
大出锋头	大出鋒頭
大出风头	大出風頭
大厂县	大廠縣
大厂回族自治县	大廠回族自治縣
大历十才子	大曆十才子
大历史	大歷史
大团白脸	大團白臉
大团结	大團結
大头针	大頭針
大头面目	大頭面目
大别山脉	大別山脈
大干一场	大幹一場
大干一票	大幹一票
大水冲倒龙王庙	大水沖倒龍王廟
大水冲倒龙王殿	大水沖倒龍王殿
大明历史	大明歷史
大表哥	大表哥
大表妹	大表妹
大表姊	大表姊
大表弟	大表弟
大陆性气团	大陸性氣團
大陆板块	大陸板塊
大陆气团	大陸氣團
大陆法系	大陸法系
大陆冷气团	大陸冷氣團
大陆同胞	大陸同胞
大陆团	大陸團
大麻里乡	大麻里鄉
大个儿	大個兒
大个子	大個子
天台县	天台縣
天台女	天台女
天台宗	天台宗
天台山	天台山
天地万物	天地萬物
天地为范	天地爲範
天后站	天后站
天后级	天后級
天下大势分久必合合久必分	天下大勢分久必合合久必分
天下安注意相天下危注意将	天下安注意相天下危注意將
天下无难事只怕有心人	天下無難事只怕有心人
天下杂志	天下雜誌
外交关系理事会	外交關係理事會
夸大不实	誇大不實
夸大之词	誇大之詞
夸大其词	誇大其詞
夸大其辞	誇大其辭
太平洋周边	太平洋周邊
太平洋联合铁路	太平洋聯合鐵路
太阳照在桑干河上	太陽照在桑乾河上
太阳电池板	太陽電池板
太阳神计划	太陽神計劃
太阳系	太陽系
太阳升	太陽昇
太阳历	太陽曆
太阳微系统公司	太陽微系統公司
太阳能板	太陽能板
太阳谷	太陽谷
太极图说	太極圖說
头发了狂	頭發了狂
头发了疯	頭發了瘋
备尝艰苦	備嘗艱苦
备尝艰辛	備嘗艱辛
出口商	出口商
出口值	出口值
出口入耳	出口入耳
出口到	出口到
出口区	出口區
出口国	出口國
出口处	出口處
出口导向	出口導向
出口调查	出口調查
出口产品	出口產品
出口伤人	出口傷人
出口量	出口量
出口额	出口額
出发到	出發到
出发地	出發地
出入口	出入口
出入境	出入境
出入将相	出入將相
出入平安	出入平安
出入证	出入證
出其东门	出其東門
出头日子	出頭日子
出头棍	出頭棍
出头椽儿先朽烂	出頭椽兒先朽爛
出头鸟	出頭鳥
出席者	出席者
出席表决比例	出席表決比例
出席费	出席費
出厂价格	出廠價格
出家人吃八方	出家人吃八方
出版社	出版社
出版物	出版物
出版界	出版界
出版品	出版品
出版前编目	出版前編目
出版商	出版商
出版地缺	出版地缺
出版日	出版日
出版所	出版所
出版期缺	出版期缺
出版法	出版法
出版业	出版業
出版人	出版人
出版者	出版者
出版自由	出版自由
出版节	出版節
出生地点	出生地點
出纳台	出納臺
出纳员	出納員
出纳处	出納處
出纳科	出納科
出纳系统	出納系統
出纳组	出納組
出租率	出租率
出租给	出租給
出类拔群	出類拔羣
出类拔萃	出類拔萃
出气口	出氣口
出气多进气少	出氣多進氣少
出海打鱼	出海打魚
出海捕鱼	出海捕魚
出血热	出血熱
出血病	出血病
出血筒子	出血筒子
出血性登革热	出血性登革熱
出人意料	出人意料
出人意外	出人意外
出人意表	出人意表
出人命	出人命
出人头地	出人頭地
出乎意外	出乎意外
出乎意料	出乎意料
出门在外	出門在外
出门子	出門子
几千人	幾千人
几千元	幾千元
几千块	幾千塊
几千年	幾千年
几大片	幾大片
几大类	幾大類
几年生	幾年生
几年级	幾年級
几内亚比绍	幾內亞比紹
几内亚湾	幾內亞灣
几家欢乐几家愁	幾家歡樂幾家愁
几万个	幾萬個
几万人	幾萬人
几万元	幾萬元
几万块	幾萬塊
几何光学	幾何光學
几何原本	幾何原本
几何学	幾何學
几何拓扑学	幾何拓撲學
几何级数	幾何級數
几何线	幾何線
几百万	幾百萬
几百个	幾百個
几百人	幾百人
几百亿	幾百億
准备好	準備好
准备充分	準備充分
准备准备	準備準備
准备率	準備率
准备给	準備給
准备金率	準備金率
准不准备	準不準備
准不准她	准不准她
准不准它	准不准它
准不准他	准不准他
准不准你	准不准你
准不准许	准不准許
准不准谁	准不准誰
准时到达	準時到達
克里斯蒂安	克里斯蒂安
克里斯伊凡	克里斯伊凡
克里斯塔基斯	克里斯塔基斯
克里木半岛	克里木半島
克里木战争	克里木戰爭
克里米亚半岛	克里米亞半島
克里米亚战争	克里米亞戰爭
克里姆林宫	克里姆林宮
克里姆林杯	克里姆林杯
克里契科	克里契科
克里奥尔语	克里奧爾語
克雷格	克雷格
克雷因	克雷因
克雷姆凯	克雷姆凱
克雷尼尔	克雷尼爾
克雷门斯	克雷門斯
克雷默	克雷默
克隆技术	克隆技術
克隆斯台	克隆斯臺
克隆氏病	克隆氏病
克难街	克難街
克难运动	克難運動
克鲁克斯	克魯克斯
克鲁兹	克魯茲
克鲁斯州	克魯斯州
克利斯提	克利斯提
克制不了	剋制不了
克制不住	剋制不住
克孜勒苏柯尔克孜自治州	克孜勒蘇柯爾克孜自治州
克孜勒苏河	克孜勒蘇河
克孜尔尕哈烽火台	克孜爾尕哈烽火臺
克尽厥职	克盡厥職
克尽夫道	克盡夫道
克尽妇道	克盡婦道
克尽己职	克盡己職
克拉克	克拉克
克拉兹	克拉茲
克莱斯勒	克萊斯勒
克莱恩	克萊恩
克莱曼	克萊曼
克莱格	克萊格
克莱儿	克萊兒
克莱因	克萊因
克莱门斯	克萊門斯
克莱顿	克萊頓
克莉丝汀	克莉絲汀
克莉丝特丝	克莉絲特絲
克莉兰柯	克莉蘭柯
克莉奥佩特拉	克莉奧佩特拉
克什克腾旗	克什克騰旗
克罗地亚共和国	克羅地亞共和國
克罗地亚语	克羅地亞語
克罗埃西亚	克羅埃西亞
光复国土	光復國土
光复国小	光復國小
光纤通信	光纖通信
光纤通讯	光纖通訊
光纤分布式数据介面	光纖分佈式數據介面
光纤分布数据接口	光纖分佈數據接口
光杆儿	光桿兒
光杆司令	光桿司令
全球定位系统卫星测量	全球定位系統衛星測量
共同经营	共同經營
共同继承	共同繼承
共同诉讼	共同訴訟
共同语	共同語
共同财产制	共同財產制
共同代理	共同代理
共同代表	共同代表
共产党	共產黨
共产制	共產制
公共关系	公共關係
公共团体	公共團體
八万四千法门	八萬四千法門
